"id","entity_code","name","pan_number","iec","stamp","signature","prefix","entity_type","created_on","updated_on","created_by","updated_by","deleted","cin_no","ein","eori","country","vat_no","company_type","is_inactive","nature_of_business","year_of_establishment","website","tan_number","company_registration_number","is_msme","bond_number"
"5d056271-8e33-4ecd-87b5-558667be9e93",MB000028,Rosenza International Trading LLC ,,,,,ROS,MENSA_ENTITY,2025-09-16 17:13:45.436 +0530,2025-09-16 17:13:45.436 +0530,rahul.kumar@mensabrands.com,rahul.kumar@mensabrands.com,false,,,,France,,LLC,,,,,,,,
"5f85ff8c-0ceb-48c7-8524-838b7bd0e4c7",MB000029,MENSA BRANDS OVERSEAS HOLDING PTE. LTD.,,,,,MEN,MENSA_ENTITY,2025-10-15 22:14:18.973 +0530,2025-10-15 22:14:18.973 +0530,devendra.gangwar@mensabrands.com,devendra.gangwar@mensabrands.com,false,,,,Singapore,,PTE,,,,,,"202451410C",,
"09546ab0-5a5b-4f72-8f20-c03df3980252",MB000014,All Mensa,ABCDE1234F,,NA,,AL,MENSA_ENTITY,2023-11-28 20:48:34.417 +0530,2023-11-28 20:48:34.417 +0530,balakrishna.c@mensabrands.com,balakrishna.c@mensabrands.com,true,,,,,,,,,,,,,,
a4644eeb-049d-49b7-9156-8722e7c47138,MB000002,VOLANS EPIC INC,"",,NA,,VE,MENSA_ENTITY,2023-09-11 12:43:32.775 +0530,2025-10-24 15:42:13.749 +0530,rithu.bharathi@mensabrands.com,arihant.tiwari@mensabrands.com,false,,"87-4310102",,United States of America,,INC,,,,,,,,
c6581709-66c2-4940-a1c7-430437b57d6e,MB000026,Rosenza International Trading LLC,,,NA,,RG,MENSA_ENTITY,2024-09-23 17:37:27.983 +0530,2025-08-30 21:45:38.639 +0530,ravi.kumar@mensabrands.com,rahul.kumar@mensabrands.com,false,,,GB088035791000,Germany,DE351222182,LLC,,,,,,,,
"345c51a4-ed8e-40ab-aafe-a447eba09f99",MB000027,Rosenza International Trading LLC,,,NA,,RC,MENSA_ENTITY,2024-09-23 17:37:31.666 +0530,2025-09-19 12:40:03.282 +0530,ravi.kumar@mensabrands.com,rahul.kumar@mensabrands.com,false,,,,Canada,,LLC,,,,,,,,
"0bfa0be9-784d-47eb-87e1-be4fae69cc05",MB000011,IMPLEXIANS ECO SOLUTIONS PRIVATE LIMITED,AAECI4692P,AAECI4692P,,https://polygon-files.s3.ap-south-1.amazonaws.com/mdm/signatures/gyan-sign-400x250.png,IM,MENSA_ENTITY,2023-11-03 03:34:59.366 +0530,2025-08-11 15:02:27.944 +0530,tech-integration@mensabrands.com,rahul.kumar@mensabrands.com,false,U74999HR2017PTC122303,,,India,,PRIVATE,,,,,,,,
"6741137c-218a-467b-8a99-78c92f033c09",MB000012,BRACHEIUM BRAND TECHNOLOGIES PRIVATE LIMITED,AAKCB3768R,AAKCB3768R,,,BR,MENSA_ENTITY,2023-11-03 03:44:59.146 +0530,2025-08-11 20:24:01.467 +0530,tech-integration@mensabrands.com,rahul.kumar@mensabrands.com,false,U47912HR2021PTC121930,,,India,,PRIVATE,,,,,,,,
bcbda0c5-f754-48d7-a50d-7db59cce8dc9,MB000024,Volans Uptown LLC,,,NA,,CA,MENSA_ENTITY,2024-09-06 19:46:27.810 +0530,2025-08-06 16:12:33.734 +0530,ravi.kumar@mensabrands.com,devendra.gangwar@mensabrands.com,false,,,,Canada,,LLC,,,,,,,,
b6bc102b-46db-4e4d-8e1e-65a7c46c740d,MB000015,MENSA BRAND US HOLDING LLC,,,NA,,MU,MENSA_ENTITY,2024-09-06 19:45:05.188 +0530,2024-09-08 13:26:15.464 +0530,ravi.kumar@mensabrands.com,ravi.kumar@mensabrands.com,false,,"87-4328114",,United States of America,,,,,,,,,,
"49015815-07a3-4430-89fa-f280d3e948ad",MB000016,MENSA BRAND US HOLDING LLC,,,NA,,MC,MENSA_ENTITY,2024-09-06 19:45:28.441 +0530,2024-09-08 13:31:59.899 +0530,ravi.kumar@mensabrands.com,ravi.kumar@mensabrands.com,false,,"87-4328114",,Canada,,,,,,,,,,
"722a57b2-0859-4b6d-95a8-d9f6ee6a7600",MB000017,Folkhomes Global INC,,,NA,,FU,MENSA_ENTITY,2024-09-06 19:45:57.877 +0530,2025-09-17 01:30:36.778 +0530,ravi.kumar@mensabrands.com,rahul.kumar@mensabrands.com,false,,"86-319413200",,United States of America,,LLC,,,,,,,,
"2e3c0fd2-8853-4be5-9655-b5ffbf6159c3",MB000018,Folkhomes Global INC,,,NA,,FC,MENSA_ENTITY,2024-09-06 19:46:16.809 +0530,2025-11-07 15:54:35.478 +0530,ravi.kumar@mensabrands.com,devendra.gangwar@mensabrands.com,false,,"86-319413200",,Canada,,INC,,,,,,,,
f587d8e5-1e10-4bda-bc7d-ebb2dde461fc,MB000025,Rosenza International Trading LLC,,,NA,,RU,MENSA_ENTITY,2024-09-20 13:54:40.201 +0530,2025-06-19 15:24:50.276 +0530,ravi.kumar@mensabrands.com,tech-integration@mensabrands.com,false,,,,United States of America,,,,,,,,,,
f5e3dcb3-713f-40f9-8d38-48a9d6a28c5a,MB000019,Folkhomes Global INC,,,NA,,FG,MENSA_ENTITY,2024-09-06 19:46:17.684 +0530,2025-05-28 12:38:27.860 +0530,ravi.kumar@mensabrands.com,rahul.kumar@mensabrands.com,false,,,GB383681661000,Great Britain,"383681661",,,,,,,,,
"760979d4-9944-4158-9d69-8bd2c79aadac",MB000007,Rosenza International Trading LLC,,,NA,,RO,MENSA_ENTITY,2023-09-20 18:50:41.613 +0530,2025-01-10 16:38:47.194 +0530,tech-integration@mensabrands.com,rahul.kumar@mensabrands.com,false,,AE-1144320,,United Arab Emirates,,,,,,,,,,
"9145298a-0045-4cda-971c-c1dd2a172589",MB000008,PRITA DESIGNS PRIVATE LIMITED,AAKCP0285H,AAKCP0285H,NA,,PR,MENSA_ENTITY,2023-09-28 00:38:53.291 +0530,2025-06-10 17:43:27.769 +0530,rithu.bharathi@mensabrands.com,rahul.kumar@mensabrands.com,false,U74999HR2018PTC114713,,,India,,,,,,,,,,
dda32b92-b934-4207-9cf9-14c793239a4a,MB000006,Pyxis Brand Technologies Private Limited,AAMCP2316B,AAMCP2316B,NA,,PY,MENSA_ENTITY,2023-09-20 00:58:59.885 +0530,2025-02-13 13:13:18.950 +0530,tech-integration@mensabrands.com,rahul.kumar@mensabrands.com,false,U52100HR2021PTC122388,,,India,,,,,,,,,,
d0abf51a-d764-4176-890e-3fdce18b6175,MB000009,Archernar Brand Technologies Private Limited,AAVCA6699R,AAVCA6699R,NA,https://polygon-files.s3.ap-south-1.amazonaws.com/mdm/signatures/gyan-sign-400x250.png,AR,MENSA_ENTITY,2023-09-28 01:13:54.193 +0530,2025-07-31 16:39:55.565 +0530,rithu.bharathi@mensabrands.com,tech-integration@mensabrands.com,false,U74999HR2021PTC122305,,,India,,,,,,,,,,
"23fd513e-6636-4af9-84e5-4716ac6e12d1",MB000021,Rosenza International Trading LLC,,,NA,,RB,MENSA_ENTITY,2024-09-06 19:46:18.021 +0530,2025-06-20 13:40:19.811 +0530,ravi.kumar@mensabrands.com,ravi.kumar@mensabrands.com,false,,,GB088035791000,Great Britain,"453943081",,,,,,,,,
"7b718713-45d7-496c-950f-93a6c7e774d3",MB000023,Rosenza International Trading LLC,,,NA,,RS,MENSA_ENTITY,2024-09-06 19:46:22.644 +0530,2024-09-06 19:46:22.644 +0530,ravi.kumar@mensabrands.com,ravi.kumar@mensabrands.com,false,,AE-1144320,,Saudi Arabia,,,,,,,,,,
"8ae15f84-3958-4591-b333-02d7e728e1f0",MB000022,VOLANS EPIC INC,,,NA,,VC,MENSA_ENTITY,2024-09-06 19:46:21.833 +0530,2025-10-24 15:42:13.749 +0530,ravi.kumar@mensabrands.com,arihant.tiwari@mensabrands.com,false,,"87-4310102",,Canada,,,,,,,,,,
"30052f9a-5ec9-4484-a720-9bc3dc56e56d",MB000020,MENSA BRAND TECHNOLOGIES PRIVATE LIMITED,,,NA,,MG,MENSA_ENTITY,2024-09-06 19:46:17.972 +0530,2024-09-06 19:46:17.972 +0530,ravi.kumar@mensabrands.com,ravi.kumar@mensabrands.com,false,,,GB460551017000,Great Britain,"460551017",,,,,,,,,
"70c376bd-1315-4f60-b4e5-25643a3ff48d",MB000004,VILLAIN LIFESTYLE PRIVATE LIMITED,AAHCV6099A,AAHCV6099A,NA,https://polygon-files.s3.ap-south-1.amazonaws.com/mdm/signatures/gyan-sign-400x250.png,VI,MENSA_ENTITY,2023-09-20 00:37:34.747 +0530,2025-10-14 14:49:31.800 +0530,tech-integration@mensabrands.com,arihant.tiwari@mensabrands.com,false,U74999HR2020PTC112958,,,India,,PRIVATE,,,,,,,,
"7d50a17a-3c1a-43c8-82d2-ab693f71ece0",MB000001,MENSA BRAND TECHNOLOGIES PRIVATE LIMITED,AAOCM5326J,AAOCM5326J,NA,https://polygon-files.s3.ap-south-1.amazonaws.com/mdm/signatures/gyan-sign-400x250.png,MB,MENSA_ENTITY,2023-08-07 14:37:39.746 +0530,2025-09-11 20:04:51.512 +0530,rithu.bharathi@mensabrands.com,rahul.kumar@mensabrands.com,false,U14101KA2021PTC146740,,,India,,PRIVATE,,,,,,,,
d7b166d2-3bf3-48b3-9277-d7d74178771c,MB000010,SRK POWERTECH PRIVATE LIMITED,AATCS3223R,AATCS3223R,NA,,SR,MENSA_ENTITY,2023-11-02 19:29:31.899 +0530,2025-04-25 10:23:26.695 +0530,tech-integration@mensabrands.com,rahul.kumar@mensabrands.com,false,U51909HR2013PTC114809,,,India,,,,,,,,,,
e9beb6ef-7d46-4485-8bae-403b15134a45,MB000005,Lepus Brand Technologies Private Limited,AAECL7195E,AAECL7195E,NA,https://polygon-files.s3.ap-south-1.amazonaws.com/mdm/signatures/gyan-sign-400x250.png,LE,MENSA_ENTITY,2023-09-20 00:52:27.685 +0530,2025-07-30 23:25:17.310 +0530,tech-integration@mensabrands.com,tech-integration@mensabrands.com,false,U52100HR2021PTC121332,,,India,,,,,,,,,,
